Date,Open,High,Low,Close,Adj Close,Volume
2021-06-24,17.0,17.889999,16.4,16.639999,16.639999,12994000
2021-06-25,16.82,17.93,16.612,17.25,17.25,2727400
2021-06-28,17.700001,17.700001,17.0,17.24,17.24,1325500
2021-06-29,17.1,17.620001,17.1,17.35,17.35,1245600
2021-06-30,17.690001,17.709999,16.98,17.16,17.16,2786500
2021-07-01,17.459999,17.58,16.68,16.85,16.85,1579300
2021-07-02,16.73,16.950001,16.575001,16.700001,16.700001,932200
2021-07-06,16.719999,16.809999,16.59,16.700001,16.700001,848500
2021-07-07,16.719999,17.0,16.5,16.5,16.5,859800
2021-07-08,16.5,16.690001,15.8,16.0,16.0,1496900
2021-07-09,16.15,16.6,16.091,16.5,16.5,614100
2021-07-12,16.5,16.75,16.25,16.25,16.25,966100
2021-07-13,16.26,16.537001,16.02,16.299999,16.299999,856000
2021-07-14,16.34,16.43,15.91,15.98,15.98,1070300
2021-07-15,15.98,16.08,14.81,14.89,14.89,1945700
2021-07-16,14.91,15.07,13.45,13.75,13.75,2014000
2021-07-19,13.3,13.41,12.34,12.55,12.55,2169100
2021-07-20,12.66,12.77,11.64,12.05,12.05,2790900
2021-07-21,12.18,12.52,11.95,12.38,12.38,1725400
2021-07-22,12.29,12.97,11.83,12.87,12.87,1055900
2021-07-23,12.85,12.99,12.295,12.55,12.55,518000
2021-07-26,12.58,12.96,12.01,12.4,12.4,373200
2021-07-27,12.35,12.98,12.26,12.54,12.54,483100
2021-07-28,12.53,12.6,12.13,12.25,12.25,486400
2021-07-29,12.42,12.56,11.52,11.62,11.62,803000
2021-07-30,11.56,11.635,11.03,11.08,11.08,456200
2021-08-02,11.19,11.25,10.23,10.92,10.92,1868400
2021-08-03,11.0,11.05,7.98,8.49,8.49,7450300
2021-08-04,8.61,9.64,8.34,9.43,9.43,6727200
2021-08-05,9.52,9.69,8.44,8.96,8.96,2902600
2021-08-06,8.66,9.13,8.35,8.92,8.92,1636200
2021-08-09,9.15,9.39,8.85,8.89,8.89,1350400
2021-08-10,8.92,8.94,8.31,8.57,8.57,1088800
2021-08-11,8.61,8.63,8.37,8.44,8.44,653300
2021-08-12,8.64,9.8,8.51,9.01,9.01,3300200
2021-08-13,9.0,9.01,8.37,8.4,8.4,1394700
2021-08-16,8.77,9.94,8.56,9.89,9.89,4057100
2021-08-17,9.9,9.93,9.21,9.5,9.5,2281500
2021-08-18,9.5,9.505,9.16,9.33,9.33,1380700
2021-08-19,9.2,9.465,9.09,9.36,9.36,980400
2021-08-20,9.46,10.01,9.42,9.9,9.9,1272100
2021-08-23,10.18,10.68,9.92,10.31,10.31,1335200
2021-08-24,10.44,10.5,10.075,10.24,10.24,902800
2021-08-25,10.32,10.335,10.09,10.21,10.21,577000
2021-08-26,10.35,10.53,10.1,10.38,10.38,828200
2021-08-27,10.37,10.464,9.85,9.96,9.96,1115700
2021-08-30,9.9,9.98,9.8,9.87,9.87,1309600
2021-08-31,9.86,9.86,9.11,9.26,9.26,1564300
2021-09-01,9.3,9.8,9.26,9.6,9.6,2106500
2021-09-02,9.61,9.81,9.45,9.71,9.71,961900
2021-09-03,9.6,10.17,9.6,10.09,10.09,983600
2021-09-07,10.2,10.42,9.98,10.16,10.16,1512600
2021-09-08,10.04,10.12,9.37,9.47,9.47,1503500
2021-09-09,9.47,9.774,9.411,9.67,9.67,603800
2021-09-10,9.8,9.92,9.585,9.65,9.65,822500
2021-09-13,9.97,10.26,9.75,9.88,9.88,1440500
