Date,Open,High,Low,Close,Adj Close,Volume
2021-06-10,21.5,29.299999,20.700001,28.5,28.5,5481000
2021-06-11,27.25,29.84,24.02,24.110001,24.110001,1191300
2021-06-14,24.299999,25.98,23.6,23.950001,23.950001,234400
2021-06-15,23.549999,24.49,22.75,23.049999,23.049999,195000
2021-06-16,23.280001,23.6,22.502001,22.92,22.92,73000
2021-06-17,22.969999,25.07,22.700001,24.0,24.0,175900
2021-06-18,24.0,26.219999,23.532,26.0,26.0,129700
2021-06-21,25.9,28.59,24.98,27.67,27.67,109200
2021-06-22,27.67,28.212999,25.780001,26.459999,26.459999,136400
2021-06-23,26.379999,27.889999,25.379999,26.940001,26.940001,93900
2021-06-24,26.940001,27.799999,24.809999,25.0,25.0,114400
2021-06-25,25.0,25.0,22.5,24.41,24.41,119600
2021-06-28,24.41,25.02,22.66,23.360001,23.360001,100600
2021-06-29,23.360001,25.83,23.360001,24.709999,24.709999,173700
2021-06-30,25.120001,35.459999,25.120001,34.810001,34.810001,1294300
2021-07-01,31.459999,31.995001,26.799999,27.110001,27.110001,764200
2021-07-02,26.51,26.809999,24.275999,25.790001,25.790001,270300
2021-07-06,26.030001,26.497999,25.309999,26.459999,26.459999,116100
2021-07-07,26.15,28.360001,26.118,28.08,28.08,259900
2021-07-08,27.200001,28.02,26.0,27.25,27.25,213000
2021-07-09,26.74,27.85,25.610001,26.43,26.43,171500
2021-07-12,26.5,27.07,25.639999,27.0,27.0,107000
2021-07-13,26.33,27.49,25.690001,26.120001,26.120001,201000
2021-07-14,25.84,26.74,25.25,25.280001,25.280001,93100
2021-07-15,25.0,25.360001,22.75,23.559999,23.559999,232800
2021-07-16,23.4,24.209999,22.787001,22.860001,22.860001,134800
2021-07-19,22.219999,22.799999,21.5,22.18,22.18,191300
2021-07-20,22.209999,22.790001,21.620001,22.33,22.33,60300
2021-07-21,22.48,23.084999,22.23,22.639999,22.639999,90000
2021-07-22,22.91,23.813,21.040001,21.68,21.68,114300
2021-07-23,21.66,22.59,21.290001,22.16,22.16,36900
2021-07-26,22.110001,23.117001,21.860001,21.91,21.91,31600
2021-07-27,21.82,22.895,21.120001,21.120001,21.120001,30200
2021-07-28,21.09,21.799999,19.08,20.02,20.02,306300
2021-07-29,20.0,20.0,18.309999,19.15,19.15,300200
2021-07-30,19.09,19.15,15.02,16.25,16.25,1868500
2021-08-02,16.52,20.93,16.309999,20.700001,20.700001,445600
2021-08-03,20.51,20.74,18.4,18.77,18.77,131000
2021-08-04,18.459999,19.469999,18.459999,18.65,18.65,106600
2021-08-05,19.290001,19.290001,18.139999,18.24,18.24,142500
2021-08-06,18.559999,19.309999,16.66,17.309999,17.309999,136100
2021-08-09,17.92,18.57,17.33,17.91,17.91,144300
2021-08-10,18.01,18.940001,16.58,17.879999,17.879999,149700
2021-08-11,18.0,18.49,17.374001,17.51,17.51,259300
2021-08-12,13.51,14.0,12.25,13.28,13.28,1554300
2021-08-13,13.64,15.41,13.27,15.32,15.32,485300
2021-08-16,14.51,15.14,14.24,14.95,14.95,266400
2021-08-17,14.94,15.19,14.01,15.02,15.02,286800
2021-08-18,14.98,16.0,14.94,15.49,15.49,222100
2021-08-19,15.9,15.9,14.43,14.58,14.58,173600
2021-08-20,14.093,16.309999,14.093,16.209999,16.209999,170600
2021-08-23,16.58,16.995001,15.43,15.53,15.53,133000
2021-08-24,15.31,16.52,15.31,15.99,15.99,110800
2021-08-25,16.08,16.280001,15.86,16.1,16.1,83500
2021-08-26,16.129999,16.48,15.25,16.01,16.01,199400
2021-08-27,15.98,16.639999,15.82,16.41,16.41,307800
2021-08-30,16.91,17.0,15.61,16.74,16.74,249900
2021-08-31,16.809999,17.09,16.17,16.309999,16.309999,127700
2021-09-01,16.379999,16.879999,16.040001,16.620001,16.620001,166100
2021-09-02,16.5,17.299999,16.364,16.76,16.76,232900
2021-09-03,16.85,18.59,16.700001,18.299999,18.299999,172200
2021-09-07,18.25,18.715,17.0,17.09,17.09,199600
2021-09-08,17.02,18.040001,16.190001,16.6,16.6,151500
2021-09-09,16.83,17.200001,16.41,16.5,16.5,136200
2021-09-10,16.549999,16.75,15.63,15.72,15.72,166400
2021-09-13,15.82,16.0,14.53,14.58,14.58,322300
2021-09-14,14.81,15.353,14.64,14.88,14.88,133000
2021-09-15,15.14,15.91,14.2,15.09,15.09,339700
2021-09-16,15.0,16.610001,14.63,16.6,16.6,284700
2021-09-17,16.65,16.799999,14.77,15.03,15.03,984700
2021-09-20,14.34,14.34,13.375,14.32,14.32,658000
2021-09-21,14.38,14.76,13.49,14.24,14.24,430300
2021-09-22,14.32,14.52,13.5,13.55,13.55,394700
2021-09-23,13.55,13.97,13.41,13.57,13.57,263600
2021-09-24,13.38,13.85,13.08,13.39,13.39,170900
2021-09-27,13.39,13.92,13.03,13.18,13.18,353900
2021-09-28,13.15,13.43,12.525,13.0,13.0,546700
2021-09-29,13.0,13.18,12.41,12.56,12.56,287600
2021-09-30,12.53,12.65,11.92,12.4,12.4,235600
2021-10-01,12.33,12.88,12.08,12.7,12.7,167000
2021-10-04,12.67,12.67,11.94,12.06,12.06,183400
2021-10-05,12.15,12.69,12.1,12.64,12.64,143400
2021-10-06,12.47,12.68,12.11,12.35,12.35,143400
2021-10-07,12.42,13.72,12.29,13.33,13.33,346000
2021-10-08,13.43,14.13,13.13,13.99,13.99,123100
2021-10-11,14.02,15.24,13.54,14.59,14.59,428800
2021-10-12,14.67,14.955,14.01,14.21,14.21,117700
2021-10-13,14.34,14.756,14.13,14.62,14.62,108300
2021-10-14,14.82,15.18,14.47,14.5,14.5,50500
2021-10-15,14.68,14.88,14.3,14.79,14.79,68900
2021-10-18,14.65,14.98,14.25,14.54,14.54,246800
2021-10-19,14.5,14.99,14.39,14.69,14.69,114700
2021-10-20,14.69,15.34,14.27,14.84,14.84,145500
2021-10-21,14.77,15.36,14.44,14.97,14.97,102700
2021-10-22,17.9,19.0,15.02,15.51,15.51,731500
2021-10-25,17.860001,18.0,15.72,17.73,17.73,1061400
2021-10-26,18.280001,18.48,16.75,17.67,17.67,444200
2021-10-27,17.469999,18.200001,16.26,16.690001,16.690001,239700
2021-10-28,16.76,17.18,16.16,16.92,16.92,149700
2021-10-29,16.879999,17.82,16.789,17.139999,17.139999,149500
2021-11-01,17.290001,17.424999,16.09,16.6,16.6,190100
2021-11-02,16.48,17.049999,15.45,16.950001,16.950001,227100
2021-11-03,17.02,17.495001,16.280001,17.09,17.09,178900
2021-11-04,17.25,17.25,16.1,16.690001,16.690001,173400
2021-11-05,16.700001,16.98,16.110001,16.34,16.34,130300
2021-11-08,16.23,16.73,15.67,15.89,15.89,188500
2021-11-09,15.99,16.110001,14.47,14.62,14.62,261800
2021-11-10,14.63,14.63,13.66,13.98,13.98,392800
2021-11-11,14.5,15.08,13.844,14.5,14.5,574100
2021-11-12,14.55,15.79,14.43,14.98,14.98,241200
2021-11-15,15.01,15.23,13.25,13.38,13.38,984500
2021-11-16,13.23,13.9,12.75,13.19,13.19,637000
2021-11-17,13.29,13.94,13.21,13.63,13.63,336400
2021-11-18,13.63,13.7,13.11,13.55,13.55,324800
2021-11-19,13.4,13.7,13.05,13.37,13.37,348800
2021-11-22,13.57,13.57,12.75,12.84,12.84,502900
2021-11-23,13.05,13.275,12.06,12.26,12.26,562400
2021-11-24,12.18,13.9,12.16,13.85,13.85,489000
2021-11-26,13.4,13.85,13.2,13.5,13.5,220600
2021-11-29,13.77,14.0,12.9,12.95,12.95,502700
2021-11-30,12.85,13.37,12.44,12.89,12.89,300800
2021-12-01,12.98,13.31,12.3,12.68,12.68,322500
2021-12-02,12.56,13.11,12.34,13.09,13.09,276400
2021-12-03,13.1,13.2,12.48,12.92,12.92,396400
2021-12-06,12.85,13.2,12.5,13.0,13.0,286900
2021-12-07,13.28,14.04,13.28,13.59,13.59,384100
2021-12-08,13.38,13.6,12.54,13.15,13.15,462900
2021-12-09,13.0,13.37,12.23,12.31,12.31,620300
2021-12-10,12.29,13.0,12.29,12.87,12.87,216100
2021-12-13,13.66,13.66,12.77,13.12,13.12,720200
2021-12-14,12.81,12.93,11.95,12.0,12.0,453000
2021-12-15,11.96,12.87,11.46,12.42,12.42,585600
2021-12-16,12.61,12.98,11.83,11.98,11.98,287500
2021-12-17,11.88,12.29,11.51,12.03,12.03,483800
2021-12-20,11.65,12.05,11.5,11.99,11.99,322300
2021-12-21,12.19,12.79,12.1,12.54,12.54,315300
2021-12-22,12.49,12.9,12.19,12.38,12.38,339400
2021-12-23,12.59,12.86,12.15,12.75,12.75,223900
2021-12-27,12.78,12.99,12.52,12.75,12.75,130800
2021-12-28,12.69,12.83,12.3,12.41,12.41,121600
2021-12-29,12.53,12.7,11.71,11.89,11.89,181700
2021-12-30,11.9,12.51,11.9,12.32,12.32,181600
2021-12-31,12.25,12.68,12.063,12.51,12.51,157600
2022-01-03,12.0,12.19,11.53,12.1,12.1,206600
2022-01-04,11.91,12.09,11.65,11.83,11.83,177600
2022-01-05,11.8,11.97,10.9,11.02,11.02,458300
2022-01-06,11.09,11.61,10.85,11.15,11.15,223400
2022-01-07,11.07,11.33,10.78,11.03,11.03,136200
2022-01-10,11.16,11.16,10.461,10.98,10.98,197200
2022-01-11,11.0,11.25,10.76,10.99,10.99,280300
2022-01-12,11.21,11.42,10.95,11.17,11.17,323700
2022-01-13,11.39,11.39,10.53,10.59,10.59,144600
2022-01-14,10.37,10.63,10.16,10.45,10.45,135500
2022-01-18,10.21,10.88,10.19,10.24,10.24,128400
2022-01-19,10.31,10.4,9.91,10.0,10.0,147700
2022-01-20,10.06,10.43,9.871,9.91,9.91,147400
2022-01-21,9.91,10.04,9.33,9.38,9.38,194700
2022-01-24,9.11,9.66,8.78,9.65,9.65,319500
2022-01-25,9.46,9.63,9.0,9.43,9.43,364400
2022-01-26,9.79,9.9,9.17,9.29,9.29,308800
2022-01-27,9.43,9.81,9.1,9.5,9.5,379800
2022-01-28,9.45,9.72,8.99,9.68,9.68,254100
2022-01-31,9.77,10.33,9.588,10.3,10.3,219300
2022-02-01,10.6,10.6,10.17,10.5,10.5,258439
